PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2022-05-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,41671,TOSCANA - BIBI GRAETZ TESTAMATTA 2018,6.2699E+11,0.75,1,14,185.99,0
2021-03-19 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,45548,PINOT GRIS - GC CLOS ST URBAIN DOMAINE ZIND HUMBRECHT 2018,3.76016E+12,0.75,1,13.5,159.99,1
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,96985,ST ESTEPHE - CHATEAU ORMES DE PEZ 2018,3.76002E+12,0.75,1,13,75,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,140175,SAUVIGNON BLANC - NOBLE VINES 242,82242010924,0.75,1,12,18.99,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,160358,MERLOT  DONINI,8.00016E+12,1,1,11.1,12.99,0
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,185967,CABERNET SAUVIGNON - CAYMUS SPECIAL SELECTION NAPA 2018,17224720102,0.75,1,15.4,239.99,0
2023-01-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,189290,GLENFARCLAS - 40 YEAR OLD,5.01807E+12,0.7,1,43,2100,NA
2023-06-04 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,195818,POL ROGER - RESERVE BRUT,89744161505,0.375,1,12,51.99,0
2023-11-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,249238,ALSACE PINOT GRIS - DOMAINE WEINBACH MARCKRAIN GRAND CRU,3.43404E+12,0.75,1,14,139.99,0
2023-11-03 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,354577,SEVENTH HEAVEN - RASPBERY AND HIBISCUS GIN COCKTAIL CAN,57496013779,0.355,4,7,12.99,NA
2023-08-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,371755,PESSAC LEOGNAN - CHATEAU LES CARMES HAUT BRION 2020,,0.75,1,13,250,NA
2023-01-12 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,460028,DUNCAN TAYLOR - CAPERDONICH RAREST,5.05651E+12,0.7,1,47.9,18800,NA
2023-10-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy White Wine,ITALY,501979,VERNACCIA DI SAN GIMIGNANO - LE CALCINAIE 2022,8.03254E+12,0.75,1,13,35.99,0
2023-07-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,614420,SAUVIGNON BLANC - CRAGGY RANGE TE MUNA MARTINBOROUGH,9.421E+12,0.75,1,13.5,31.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,887968,BRUNELLO DI MONTALCINO - ARGIANO 2018,8.02293E+12,1.5,1,14,189.99,0
2016-09-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,961086,CHATEAU LAFITE ROTHSCHILD 2013,,0.75,1,13,1200,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,15005,STELLA ARTOIS - CAN,62067382277,0.355,12,5,28.49,NA
